Model,Type,Quant,Params(B),VRAM(GB),Context,Downloads,Quality,Speed,Fit,CtxScore,Score,Verdict
Qwen/Qwen3-4B-Instruct-2507,GGUF,Q4_K_M,4.02,2.1,262144,5604976,88.9,97.7,100.0,100.0,96.7,Excellent
Nanbeige/Nanbeige4.1-3B,GGUF,Q4_K_M,3.93,2.0,262144,734323,88.8,97.7,100.0,100.0,96.6,Excellent
Qwen/Qwen3-4B-Thinking-2507,GGUF,Q4_K_M,4.02,2.1,262144,1056750,87.6,97.7,100.0,100.0,96.3,Excellent
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,GGUF,Q4_K_M,1.78,0.9,131072,641594,88.2,97.9,100.0,93.0,95.8,Excellent
Qwen/Qwen3-0.6B,GGUF,Q4_K_M,0.75,0.5,40960,13320335,90.0,97.9,100.0,87.0,95.7,Excellent
Qwen/Qwen3-8B,GGUF,Q4_K_M,8.19,4.2,40960,8916125,90.0,97.4,100.0,87.0,95.5,Excellent
HuggingFaceTB/SmolLM3-3B,GGUF,Q4_K_M,3.08,1.6,65536,838923,89.0,97.8,100.0,87.0,95.4,Excellent
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,GGUF,Q4_K_M,7.62,3.9,131072,576713,86.8,97.4,100.0,93.0,95.4,Excellent
mistralai/Mistral-7B-Instruct-v0.2,GGUF,Q4_K_M,7.24,3.7,32768,3048605,90.0,97.5,100.0,80.0,94.9,Excellent
Qwen/Qwen3-1.7B,GGUF,Q4_K_M,2.03,1.0,40960,7069931,86.4,97.8,100.0,87.0,94.8,Excellent
Qwen/Qwen2.5-7B-Instruct,GGUF,Q4_K_M,7.62,3.9,32768,21297801,90.0,97.4,100.0,80.0,94.8,Excellent
Qwen/Qwen2.5-7B,GGUF,Q4_K_M,7.62,3.9,131072,1202170,84.3,97.4,100.0,93.0,94.7,Excellent
Qwen/Qwen2.5-1.5B-Instruct,GGUF,Q4_K_M,1.54,0.8,32768,8888396,88.1,97.9,100.0,80.0,94.5,Excellent
Qwen/Qwen2.5-Coder-7B-Instruct,GGUF,Q4_K_M,7.62,3.9,32768,2481079,88.3,97.4,100.0,80.0,94.4,Excellent
nvidia/NVIDIA-Nemotron-Nano-9B-v2,GGUF,Q4_K_M,8.89,4.6,131072,358294,82.6,97.3,100.0,93.0,94.3,Excellent
